Tire,Size,RimWidthIn,IABinDeg,N,IAMedianDeg,PeakMuY_Q995
Hoosier 43075,16x7.5-10 R20,7,0,5826,0.006,2.48810401704771
Hoosier 43075,16x7.5-10 R20,7,2,2370,1.993,2.43191565519589
Hoosier 43075,16x7.5-10 R20,7,4,2291,3.991,2.39701618274833
Hoosier 43075,16x7.5-10 R20,8,0,3668,0.007,2.43986531063834
Hoosier 43075,16x7.5-10 R20,8,2,1223,1.995,2.43541536883061
Hoosier 43075,16x7.5-10 R20,8,4,1222,3.993,2.34229601279108
Hoosier 43070,16x6.0-10 R20,6,0,6049,0.006,2.42364672376292
Hoosier 43070,16x6.0-10 R20,6,2,2426,1.996,2.35776793727703
Hoosier 43070,16x6.0-10 R20,6,4,2397,3.991,2.31816040269043
Hoosier 43070,16x6.0-10 R20,7,0,6111,0.006,2.3391705413675
Hoosier 43070,16x6.0-10 R20,7,2,2445,1.993,2.35256537243749
Hoosier 43070,16x6.0-10 R20,7,4,2444,3.991,2.28941476480856
