Tire,Size,RimWidthIn,FZBinN,N,FZMedianN,IAMedianDeg,PressureMedianKPa,PeakMuY_Q995
Hoosier 43075,16x7.5-10 R20,7,222.411080763025,2450,222.15,1.992,82.36,2.7098172862365
Hoosier 43075,16x7.5-10 R20,7,444.82216152605,2490,444.95,1.999,82.51,2.57416570333224
Hoosier 43075,16x7.5-10 R20,7,667.233242289075,2492,669.445,1.996,83.57,2.50608444407187
Hoosier 43075,16x7.5-10 R20,7,889.6443230521,2492,893.835,2.001,83.52,2.45962780665471
Hoosier 43075,16x7.5-10 R20,7,1112.05540381512,2415,1115.89,1.993,83.17,2.43189528364492
Hoosier 43075,16x7.5-10 R20,8,222.411080763025,1230,222.87,1.996,82.56,2.63153630348691
Hoosier 43075,16x7.5-10 R20,8,444.82216152605,1245,444.94,1.992,82.51,2.53597556458237
Hoosier 43075,16x7.5-10 R20,8,667.233242289075,1244,669.735,2.002,82.56,2.51859039578817
Hoosier 43075,16x7.5-10 R20,8,889.6443230521,1245,892.07,1.987,82.56,2.48033475696638
Hoosier 43075,16x7.5-10 R20,8,1112.05540381512,1245,1116.12,1.995,82.61,2.43518408418364
Hoosier 43070,16x6.0-10 R20,6,222.411080763025,2448,220.9,1.993,82.61,2.73104028119944
Hoosier 43070,16x6.0-10 R20,6,444.82216152605,2490,443.72,1.992,82.56,2.57129190944287
Hoosier 43070,16x6.0-10 R20,6,667.233242289075,2491,667.99,2.001,82.46,2.47477794427789
Hoosier 43070,16x6.0-10 R20,6,889.6443230521,2492,894.125,1.99,82.46,2.43530455813135
Hoosier 43070,16x6.0-10 R20,6,1112.05540381512,2473,1116.49,1.996,82.66,2.3576324510636
Hoosier 43070,16x6.0-10 R20,7,222.411080763025,2428,222.45,1.996,82.46,2.70192577982532
Hoosier 43070,16x6.0-10 R20,7,444.82216152605,2489,444.04,1.992,82.41,2.55619256356552
Hoosier 43070,16x6.0-10 R20,7,667.233242289075,2490,667.38,1.996,82.41,2.48765219785665
Hoosier 43070,16x6.0-10 R20,7,889.6443230521,2489,890.24,2.005,82.36,2.41703226179259
Hoosier 43070,16x6.0-10 R20,7,1112.05540381512,2492,1115.53,1.993,82.41,2.35202414157552
Hoosier 43100,18.0x6.0-10 R20,6,222.411080763025,2334,215.865,1.995,82.06,2.99817980893322
Hoosier 43100,18.0x6.0-10 R20,6,444.82216152605,2486,439.525,1.995,82.41,2.82675719260234
Hoosier 43100,18.0x6.0-10 R20,6,667.233242289075,2453,663.29,1.996,82.31,2.6810242113085
Hoosier 43100,18.0x6.0-10 R20,6,889.6443230521,2250,887.31,1.999,82.97,2.60288766994369
Hoosier 43100,18.0x6.0-10 R20,6,1112.05540381512,1584,1110,1.995,82.86,2.50914514140548
Hoosier 43100,18.0x6.0-10 R20,7,222.411080763025,2362,223.02,1.996,81.95,2.87275063866243
Hoosier 43100,18.0x6.0-10 R20,7,444.82216152605,2484,444.295,1.996,82,2.75237777355614
Hoosier 43100,18.0x6.0-10 R20,7,667.233242289075,2489,666.71,2.001,82.46,2.71120156978821
Hoosier 43100,18.0x6.0-10 R20,7,889.6443230521,2489,888.11,1.992,82.86,2.65246063772789
Hoosier 43100,18.0x6.0-10 R20,7,1112.05540381512,2274,1111.745,1.995,83.32,2.5250148711824
Goodyear D0571,18.0x6.5-10,6,222.411080763025,2230,224.155,1.995,82.31,2.84636100442688
Goodyear D0571,18.0x6.5-10,6,444.82216152605,2478,441.425,1.995,82.36,2.76187122231727
Goodyear D0571,18.0x6.5-10,6,667.233242289075,2403,664.44,1.996,82.76,2.68276992046612
Goodyear D0571,18.0x6.5-10,6,889.6443230521,2149,888.62,1.995,83.02,2.58465643800918
Goodyear D0571,18.0x6.5-10,6,1112.05540381512,1762,1113.975,1.995,83.17,2.49338728905203
Goodyear D0571,18.0x6.5-10,7,222.411080763025,2232,220.28,1.998,82.31,2.9288672395268
Goodyear D0571,18.0x6.5-10,7,444.82216152605,2481,441.95,1.996,82.41,2.74736235959043
Goodyear D0571,18.0x6.5-10,7,667.233242289075,2488,665.37,1.998,82.61,2.70938846603071
Goodyear D0571,18.0x6.5-10,7,889.6443230521,2479,888.13,1.996,82.76,2.67387014924004
Goodyear D0571,18.0x6.5-10,7,1112.05540381512,2239,1111.6,1.996,82.61,2.55199488119619
MRF ZTD1,18x6.0-10 ZTD1,6,222.411080763025,2236,222.71,1.996,82.71,2.24848461045813
MRF ZTD1,18x6.0-10 ZTD1,6,444.82216152605,2472,442.765,1.996,82.71,2.09724788129406
MRF ZTD1,18x6.0-10 ZTD1,6,667.233242289075,2490,665.305,1.998,82.61,2.13703286234885
MRF ZTD1,18x6.0-10 ZTD1,6,889.6443230521,2459,888.38,1.996,82.66,2.09638744317718
MRF ZTD1,18x6.0-10 ZTD1,6,1112.05540381512,2360,1110.57,1.996,82.71,2.00000157177082
MRF ZTD1,18x6.0-10 ZTD1,7,222.411080763025,2359,219.73,2.002,82.76,2.14730198079149
MRF ZTD1,18x6.0-10 ZTD1,7,444.82216152605,2481,441.62,1.996,82.71,2.03652511026887
MRF ZTD1,18x6.0-10 ZTD1,7,667.233242289075,2486,663.31,2.001,82.66,1.98192624549699
MRF ZTD1,18x6.0-10 ZTD1,7,889.6443230521,2473,886.92,1.993,82.76,1.95803534568249
MRF ZTD1,18x6.0-10 ZTD1,7,1112.05540381512,2445,1110.32,1.998,82.76,1.91943308842852
Hoosier 43164,20.5x7.0-13 R20,7,222.411080763025,2405,223.95,1.996,82.56,2.74566147949444
Hoosier 43164,20.5x7.0-13 R20,7,444.82216152605,2486,445.23,1.995,82.61,2.60592405435333
Hoosier 43164,20.5x7.0-13 R20,7,667.233242289075,2491,666.42,1.996,82.46,2.58718635241732
Hoosier 43164,20.5x7.0-13 R20,7,1112.05540381512,2477,1111.15,1.996,82.61,2.45020493504496
Hoosier 43164,20.5x7.0-13 R20,7,1556.87756534117,2301,1556.85,1.998,82.56,2.30291342411166
Hoosier 43164,20.5x7.0-13 R20,8,222.411080763025,2378,223.09,1.998,82.61,2.82881396361351
Hoosier 43164,20.5x7.0-13 R20,8,444.82216152605,2484,443.85,1.996,82.61,2.64345594070517
Hoosier 43164,20.5x7.0-13 R20,8,667.233242289075,2492,667.665,1.999,82.56,2.58524130414378
Hoosier 43164,20.5x7.0-13 R20,8,1112.05540381512,2490,1112.335,1.996,82.56,2.48269861850885
Hoosier 43164,20.5x7.0-13 R20,8,1556.87756534117,2410,1558.9,1.989,82.56,2.33375200057283
Goodyear D2704,20.0x7.0-13,7,222.411080763025,2350,219.84,1.995,82.51,3.08390446684684
Goodyear D2704,20.0x7.0-13,7,444.82216152605,2484,442.11,1.995,82.46,2.87600040618238
Goodyear D2704,20.0x7.0-13,7,667.233242289075,2491,663.89,1.996,82.41,2.93913239199709
Goodyear D2704,20.0x7.0-13,7,1112.05540381512,2430,1111.48,1.995,82.56,2.74663322116387
Goodyear D2704,20.0x7.0-13,7,1556.87756534117,1433,1545.89,2.005,83.27,2.58953720848437
Goodyear D2704,20.0x7.0-13,8,222.411080763025,2343,219.94,1.998,81.3,2.8844987861575
Goodyear D2704,20.0x7.0-13,8,444.82216152605,2481,441.41,1.995,81.5,2.7825660305013
Goodyear D2704,20.0x7.0-13,8,667.233242289075,2490,664.275,1.995,81.7,2.7022287406236
Goodyear D2704,20.0x7.0-13,8,889.6443230521,1245,886.28,1.985,83.17,2.57336196594551
Goodyear D2704,20.0x7.0-13,8,1112.05540381512,2461,1109.96,1.995,82.66,2.54600256899596
Goodyear D2704,20.0x7.0-13,8,1556.87756534117,1079,1552.09,1.999,82.56,2.48738558315748
