Tire,Size,RimDiameterIn,RimWidthIn,NominalODmm,TheoreticalTopSpeedKph_6500rpm_19_60,N_TargetWindow,PressureMedianKPa,IAMedianDeg,FZMedianN,PeakMuY_Q995,PeakFY_N,SlipAngleAtPeakAbsDeg,CorneringStiffness_N_per_deg,CorneringStiffness_N_per_rad,CorneringStiffness_R2,DataNotes
Goodyear D0571,18.0x6.5-10,10,6,457.2,177.387515910825,1762,83.17,1.995,1113.975,2.49338728905203,2639.59,9.314,661.341116215409,37892.0547776138,0.993620288533802,""
Goodyear D0571,18.0x6.5-10,10,7,457.2,177.387515910825,2239,82.61,1.996,1111.6,2.55199488119619,2739.94,7.623,788.785678895779,45194.0903410895,0.994966320748411,""
Hoosier 43070,16x6.0-10 R20,10,6,406.4,157.677791920733,2473,82.66,1.996,1116.49,2.3576324510636,2562.62,10.621,478.373415051879,27408.7777137327,0.998184262885739,""
Hoosier 43070,16x6.0-10 R20,10,7,406.4,157.677791920733,2492,82.41,1.993,1115.53,2.35202414157552,2653.12,10.779,558.473423043789,31998.1701106333,0.997726401919026,""
Hoosier 43075,16x7.5-10 R20,10,7,406.4,157.677791920733,2415,83.17,1.993,1115.89,2.43189528364492,2638.38,9.849,579.793861475782,33219.741250155,0.998111301707154,"Run 4 aborted due pressure hose detachment; continued as Run 5."
Hoosier 43075,16x7.5-10 R20,10,8,406.4,157.677791920733,1245,82.61,1.995,1116.12,2.43518408418364,2703.12,8.835,660.488555620692,37843.2066537574,0.998290550236724,"Run Guide lists Run 9, but no B2356run9.dat was found in supplied cornering data."
Hoosier 43100,18.0x6.0-10 R20,10,6,457.2,177.387515910825,1584,82.86,1.995,1110,2.50914514140548,2680.62,11.303,541.202743749685,31008.6330777571,0.995279219709155,""
Hoosier 43100,18.0x6.0-10 R20,10,7,457.2,177.387515910825,2274,83.32,1.995,1111.745,2.5250148711824,2812.82,10.54,610.439034513982,34975.580327692,0.99632348203999,""
MRF ZTD1,18x6.0-10 ZTD1,10,6,457.2,177.387515910825,2360,82.71,1.996,1110.57,2.00000157177082,2158.42,4.39,659.928746262853,37811.1319402213,0.997568406681432,""
MRF ZTD1,18x6.0-10 ZTD1,10,7,457.2,177.387515910825,2445,82.76,1.998,1110.32,1.91943308842852,2089.33,4.793,738.329591160832,42303.1694631353,0.997481624895173,""
Goodyear D2704,20.0x7.0-13,13,7,508,197.097239900916,2430,82.56,1.995,1111.48,2.74663322116387,2992.52,9.292,874.87576835808,50126.689125183,0.994663831912008,""
Goodyear D2704,20.0x7.0-13,13,8,508,197.097239900916,2461,82.66,1.995,1109.96,2.54600256899596,2778.47,11.63,855.078989476418,48992.4172473101,0.993391367056077,"Bead screws used; no 8 psi data collected; 350 lbf replaced with 200 lbf per Run Guide."
Hoosier 43164,20.5x7.0-13 R20,13,7,520.7,202.024670898439,2477,82.61,1.996,1111.15,2.45020493504496,2659.41,8.589,877.384456795242,50270.4263847457,0.992612884549932,""
Hoosier 43164,20.5x7.0-13 R20,13,8,520.7,202.024670898439,2490,82.56,1.996,1112.335,2.48269861850885,2740.92,7.944,908.081212831325,52029.220950356,0.990436029800082,""
