Front_LLTD_pct,Total_LeftRight_Load_Difference_N,IF_FZ_N,OF_FZ_N,IR_FZ_N,OR_FZ_N,IF_Capacity_N,OF_Capacity_N,IR_Capacity_N,OR_Capacity_N,Front_Axle_Capacity_N,Rear_Axle_Capacity_N,Total_Capacity_N,Front_minus_Rear_Capacity_N,Front_Rear_Capacity_Ratio
35,1118.76673241714,353.388221827001,744.956578172999,460.15941196443,1187.35778803557,929.387177857085,1854.82998683716,1182.36621211337,2887.52980472277,2784.21716469425,4069.89601683614,6854.11318153038,-1285.67885214189,0.68410031931446
36,1118.58587778855,347.82694199806,750.51785800194,465.811119107662,1181.70608089234,915.941181787003,1867.80491769771,1196.08224710731,2873.7854447766,2783.74609948471,4069.8676918839,6853.61379136862,-1286.12159239919,0.683989335829279
37,1118.40508162276,342.26745989979,756.07734010021,471.460999288831,1176.05620071117,902.461823916456,1880.76274031867,1209.77430263949,2860.04552781085,2783.22456423512,4069.81983045034,6853.04439468546,-1286.59526621522,0.683869232591347
38,1118.2243438914,336.709774660633,761.635025339366,477.109053393665,1170.40814660633,888.949138697949,1893.70346925407,1223.44239980976,2846.31005167154,2782.65260795202,4069.7524514813,6852.40505943332,-1287.09984352928,0.683740016407926
39,1118.04366456617,331.153885409598,767.190914590402,482.755282307319,1164.76191769268,875.403160549913,1906.62711904452,1237.08655969821,2832.57901420604,2782.03027959443,4069.66557390425,6851.69585349868,-1287.63529430982,0.683601693818168
40,1117.86304361874,325.599791276252,772.745008723748,488.399686914378,1159.11751308562,861.823923856735,1919.53370421716,1250.70680336517,2818.85241326315,2781.3576280739,4069.55921662832,6850.91684470221,-1288.20158855442,0.683454271093833
41,1117.68248102084,320.047491390728,778.297308609271,494.042268098853,1153.47493190115,848.211462968798,1932.42323928573,1264.30315185127,2805.13024669304,2780.63470225453,4069.43339854431,6850.06810079884,-1288.79869628979,0.683297754239987
42,1117.50197674419,314.496984883721,783.847815116279,499.683026744186,1147.83417325581,834.565812202518,1945.29573875054,1277.87562617744,2791.41251234728,2779.86155095305,4069.28813852472,6849.14968947778,-1289.42658757167,0.683132148995688
43,1117.32153076054,308.948270886485,789.396529113515,505.321963733247,1142.19523626675,820.88700584038,1958.15121709852,1291.42424734494,2777.69920807881,2779.0382229389,4069.12345542375,6848.16167836265,-1290.08523248486,0.682957460834643
44,1117.14114304165,303.401348530836,794.943451469164,510.959079948337,1136.55812005166,807.175078130976,1970.98968880321,1304.94903633537,2763.99033174198,2778.16476693418,4068.93936807734,6847.10413501152,-1290.77460114316,0.682773694965851
45,1116.96081355932,297.856216949152,800.488583050847,516.594376271186,1130.92282372881,793.430063289041,1983.81116832479,1318.45001411068,2750.2858811925,2777.24123161383,4068.73589530318,6845.97712691701,-1291.49466368935,0.682580856334221
46,1116.78054228535,292.31287527437,806.031924725629,522.227853582957,1125.28934641704,779.65199549549,1996.61567011008,1331.92720161324,2736.58585428748,2776.26766560557,4068.51305590072,6844.78072150629,-1292.24539029515,0.682378949621176
47,1116.60032919154,286.771322639987,811.573477360013,527.859512764241,1119.65768723576,765.840908897454,2009.40320859258,1345.38061976579,2722.89024888542,2775.24411749003,4068.27086865121,6843.51498614124,-1293.02675116118,0.68216797924523
48,1116.42017424976,281.231558180058,817.113241819942,533.489354695063,1114.02784530494,751.99683760832,2022.17379819243,1358.81028947153,2709.19906284619,2774.17063580075,4068.00935231771,6842.17998811847,-1293.83871651696,0.681947949362553
49,1116.24007743184,275.693581029198,822.651218970802,539.11738025488,1108.39981974512,738.119815707761,2034.9274533165,1372.21623161408,2696.01752060335,2773.04726902426,4068.23375221743,6841.28102124169,-1295.18648319317,0.681634202438044
50,1116.06003870968,270.157390322581,828.187409677419,544.743590322581,1102.77360967742,724.20987724178,2047.66418835832,1385.59846705756,2683.10623586124,2771.8740656001,4068.70470291881,6840.57876851891,-1296.8306373187,0.681266955454304
51,1115.88005805515,264.622985195936,833.721814804064,550.367985776488,1097.14921422351,710.267056222743,2060.38401769818,1398.95701664656,2670.19122523808,2770.65107392092,4069.14824188464,6839.79931580557,-1298.49716796372,0.680892144798757
52,1115.70013544018,259.090364785553,839.254435214447,555.990567494357,1091.52663250564,696.291386629415,2073.08695570307,1412.29190120617,2657.27249435209,2769.37834233249,4069.56439555827,6838.94273789075,-1300.18605322578,0.680509772828544
53,1115.52027083669,253.559528228277,844.785271771723,561.611336353377,1085.90586364662,682.282902406998,2085.77301672674,1425.60314154205,2644.35004881541,2768.05591913374,4069.95319035746,6838.00910949119,-1301.89727122372,0.680119841597151
54,1115.34046421663,248.030474661509,850.314325338491,567.230293230174,1080.28690676983,668.241637467166,2098.44221510969,1438.89075844036,2631.42389423411,2766.68385257685,4070.31465267447,6836.99850525132,-1303.63080009762,0.679722352855191
55,1115.16071555197,242.503203223207,855.841596776793,572.847439000806,1074.66976099919,654.167625688102,2111.09456517919,1452.15477266787,2618.49403620819,2765.26219086729,4070.64880887607,6835.91099974336,-1305.38661800877,0.679317308051146
