Axle,Point,X_mm,Y_mm,Z_mm,Source
Front,upper_front,-617.22,-243.47,235,ninth/final sheet
Front,upper_outer,-505.37,-555,249.84,ninth/final sheet
Front,upper_rear,-380.72,-259.2,235,ninth/final sheet
Front,lower_front,-623.4,-242.87,60.33,ninth/final sheet
Front,lower_outer,-518.63,-580,60.56,ninth/final sheet
Front,lower_rear,-381.38,-258.92,60.33,ninth/final sheet
Front,pushrod_inner,-506.17,-248.33,601.86,ninth/final sheet
Front,pushrod_outer,-505.37,-500,249.84,ninth/final sheet
Front,damper_inner,-506.17,-20,543.43,ninth/final sheet
Front,damper_outer,-506.17,-194.83,600.97,ninth/final sheet
Front,rocker_axis,-500,-216.95,533.39,ninth/final sheet
Front,rocker_pivot,-506.17,-216.95,533.39,ninth/final sheet
Front,tie_inner,-557.24,-288.52,98.77,ninth/final sheet
Front,tie_outer,-415,-650,102.6,ninth/final sheet
Front,wheel_center,-512,-625,155.2,ninth/final sheet
Rear,upper_front,920.66,-307.63,228.16,ninth/final sheet
Rear,upper_outer,1068,-537,250.2,ninth/final sheet
Rear,upper_rear,1150.67,-265,228.16,ninth/final sheet
Rear,lower_front,943.3,-303,85.15,ninth/final sheet
Rear,lower_outer,1067.71,-555,77.44,ninth/final sheet
Rear,lower_rear,1141.54,-258,85.15,ninth/final sheet
Rear,pushrod_inner,1088.7,-271.68,428.62,ninth/final sheet
Rear,pushrod_outer,1068,-500,250.2,ninth/final sheet
Rear,damper_inner,1088.67,-20,382.65,ninth/final sheet
Rear,damper_outer,1088.67,-191.61,426.83,ninth/final sheet
Rear,rocker_axis,1068.67,-255.45,372.58,ninth/final sheet
Rear,rocker_pivot,1088.67,-255.45,372.58,ninth/final sheet
Rear,tie_inner,1153.75,-261.08,144.97,ninth/final sheet
Rear,tie_outer,1130,-559.31,179.54,ninth/final sheet
Rear,wheel_center,1068,-615,155.2,ninth/final sheet
