sheet,第九版（最终版）
左前悬参数,,,,,,,,,右前悬参数,,,,,,,,,,,,
1,,x轴,y轴,z轴,Camber,Caster,主销内倾角,,2,,x轴,y轴,z轴,,,,,,,,
Point 1,摇臂轴线,-500,-216.95,533.39,-1.5°,4.54°,1.5°,,Point 20,摇臂轴线,-500,216.95,533.39,,,,,,,,
Point 2,摇臂转轴中心点,-506.17,-216.95,533.39,,,,,Point 21,摇臂转轴中心点,-506.17,216.95,533.39,,,,,,,,
Point 3,减震内侧点,-506.17,-20,543.43,,,,,Point 22,减震内侧点,-506.17,20,543.43,,,,,,,,
Point 4,减震外侧点,-506.17,-194.83,600.97,,,,,Point 23,减震外侧点,-506.17,194.83,600.97,,,,,,,,
Point 5,下前,-623.4,-242.87,60.330000000000005,,,,,Point 24,下前,-623.4,242.87,60.330000000000005,,,,,,,,
Point 6,下外,-518.63,-580,60.56,,,,,Point 25,下外,-518.63,580,60.56,,,,,,,,
Point 7,下后,-381.38,-258.92,60.330000000000005,,,,,Point 26,下后,-381.38,258.92,60.330000000000005,,,,,,,,
Point 12,推杆内侧,-506.17,-248.33,601.86,,,,,Point 31,推杆内侧,-506.17,248.33,601.86,,,,,,,,
Point 13,推杆外侧,-505.37,-500,249.83999999999997,,,,,Point 32,推杆外侧,-505.37,500,249.83999999999997,,,,,,,,
Point 14,行驶高度,-766,-219.1,21.85,,,,,Point 33,行驶高度,-766,219.1,21.85,,,,,,,,
Point 15,束杆内,-557.24,-288.52,98.77,,,,,Point 34,束杆内,-557.24,288.52,98.77,,,,,,,,
Point 16,束杆外,-415,-650,102.6,,,,,Point 35,束杆外,-415,650,102.6,,,,,,,,
Point 17,上前,-617.22,-243.47,235,,,,,Point 36,上前,-617.22,243.47,235,,,,,,,,
Point 18,上外,-505.37,-555,249.83999999999997,,,,,Point 37,上外,-505.37,555,249.83999999999997,,,,,,,,
Point 19,上后,-380.72,-259.2,235,,,,,Point 38,上后,-380.72,259.2,235,,,,,,,,
,轮心,-512,-625,155.2,,,,,,轮心,-512,625,155.2,,,,,,,,
,,,,,,,,,,,0,0,0,,,,,,,,
左后悬参数,,,,,,,,,,,0,0,0,,,,,,,,
,摇臂轴线,1068.67,-255.45,372.58,,,,,,摇臂轴线,1068.67,255.45,372.58,,,,,,,,
,摇臂转轴中心点,1088.67,-255.45,372.58,,,,,,摇臂转轴中心点,1088.67,255.45,372.58,,,,,,,,
,减震内侧点,1088.67,-20,382.65,,,,,,减震内侧点,1088.67,20,382.65,,,,,,,,
,减震外侧点,1088.67,-191.61,426.83,,,,,,减震外侧点,1088.67,191.61,426.83,,,,,,,,
,传动轴内侧,1000,-200.66,222.06,,,,,,传动轴内侧,1000,200.66,222.06,,,,,,,,
,下前,943.3,-303,85.15,,,,,,下前,943.3,303,85.15,,,,,,,,
,下外,1067.71,-555,77.44,,,,,,下外,1067.71,555,77.44,,62.29,4.31,102.1,,62.2,24.34,34.18
,下后,1141.54,-258,85.15,,,,,,下后,1141.54,258,85.15,,,,,,,,
,推杆内侧,1088.7,-271.68,428.62,,,,,,推杆内侧,1088.7,271.68,428.62,,,,,,,,
,推杆外侧,1068,-500,250.2,,,,,,推杆外侧,1068,500,250.2,,,,,,,,
,行驶高度,1000,-381,159.5,,,,,,行驶高度,1000,381,159.5,,,,,,,,
,束杆内,1153.75,-261.08,144.97,,,,,,束杆内,1153.75,261.08,144.97,,,,,,,,
,束杆外,1130,-559.31,179.54,,,,,,束杆外,1130,559.31,179.54,,-0.09,-77.76,38.49,,,,
,上前,920.66,-307.63,228.16,,,,,,上前,920.66,307.63,228.16,,,,,,,,
,上外,1068,-537,250.2,,,,,,上外,1068,537,250.2,,,,,,,,
,上后,1150.67,-265,228.16,,,,,,上后,1150.67,265,228.16,,,,,,,,
,轮心,1068,-615,155.2,,,,,,轮心,1068,615,155.2,,,,,,,,
